Company,Slug,Score,Source
ZeroMark,zeromark,,a16z-speedrun
Alluxio,alluxio,,a16z-speedrun
Mutiny,mutiny,,a16z-speedrun
NimbleRx,nimblerx,,a16z-speedrun
Pryzm,pryzm,,a16z-speedrun
Pulse,pulse,,a16z-speedrun
SafetyKit,safetykit,,a16z-speedrun
Silverfin,silverfin,,a16z-speedrun
Sony,sony,,a16z-speedrun
SoundCloud,soundcloud,,a16z-speedrun
The Mobile-First Company,the-mobile-first-company,,a16z-speedrun
World Labs,world-labs,,a16z-speedrun
Browserbase,browserbase,,a16z-speedrun
Fin,fin,,a16z-speedrun
Healthtech 1,healthtech-1,,a16z-speedrun
Melius,melius,,a16z-speedrun
Podium Automation,podium-automation,,a16z-speedrun
Simple AI,simple-ai,,a16z-speedrun
Solidroad,solidroad,,a16z-speedrun
Sphinx,sphinx,,a16z-speedrun
State Affairs,state-affairs,,a16z-speedrun
Tebi,tebi,,a16z-speedrun
Blackbird,blackbird,,a16z-speedrun
Boku,boku,,a16z-speedrun
Cradle,cradle,,a16z-speedrun
Finto,finto,,a16z-speedrun
Frec,frec,,a16z-speedrun
Midstream Health,midstream-health,,a16z-speedrun
Nexxa.ai,nexxa-ai,,a16z-speedrun
Oso,oso,,a16z-speedrun
Probably Genetic,probably-genetic,,a16z-speedrun
Stacks,stacks,,a16z-speedrun
Uplane,uplane,,a16z-speedrun
WireScreen,wirescreen,,a16z-speedrun
AgentMail,agentmail,,a16z-speedrun
Arcade Software,arcade-software,,a16z-speedrun
Carnegie Mellon University,carnegie-mellon-university,,a16z-speedrun
Eisen,eisen,,a16z-speedrun
Elyos AI,elyos-ai,,a16z-speedrun
Inductive Bio,inductive-bio,,a16z-speedrun
Magentic,magentic,,a16z-speedrun
Sky Mavis,sky-mavis,,a16z-speedrun
Blockit,blockit,,a16z-speedrun
Credal.ai,credal-ai,,a16z-speedrun
Daylight Energy,daylight-energy,,a16z-speedrun
Electric Air,electric-air,,a16z-speedrun
Freed,freed,,a16z-speedrun
Hamming AI,hamming-ai,,a16z-speedrun
Harmony,harmony,,a16z-speedrun
Lean Technologies,lean-technologies,,a16z-speedrun
Mandolin,mandolin,,a16z-speedrun
Prox,prox,,a16z-speedrun
SalesPatriot,salespatriot,,a16z-speedrun
Sirius Technology,sirius-technology,,a16z-speedrun
Slingshot AI,slingshot-ai,,a16z-speedrun
Stytch,stytch,,a16z-speedrun
Subsets,subsets,,a16z-speedrun
Zeit AI,zeit-ai,,a16z-speedrun
Apron,apron,,a16z-speedrun
Artie,artie,,a16z-speedrun
AthenaHQ,athenahq,,a16z-speedrun
Dialogue,dialogue,,a16z-speedrun
Fizz,fizz,,a16z-speedrun
Invopop,invopop,,a16z-speedrun
Sim,sim,,a16z-speedrun
Stilta,stilta,,a16z-speedrun
Strada,strada,,a16z-speedrun
truthsystems,truthsystems,,a16z-speedrun
Alta Ares,alta-ares,,a16z-speedrun
Aquant,aquant,,a16z-speedrun
Cosine,cosine,,a16z-speedrun
Cranston AI,cranston-ai,,a16z-speedrun
Emidat,emidat,,a16z-speedrun
Kensington,kensington,,a16z-speedrun
PowerUs,powerus,,a16z-speedrun
Sylvera,sylvera,,a16z-speedrun
The Token Company,the-token-company,,a16z-speedrun
GovEagle,goveagle,,a16z-speedrun
InstaLILY,instalily,,a16z-speedrun
Liquid,liquid,,a16z-speedrun
Nexxen,nexxen,,a16z-speedrun
Revise Robotics,revise-robotics,,a16z-speedrun
Strella,strella,,a16z-speedrun
Bead AI,bead,,a16z-speedrun
Bluestaq,bluestaq,,a16z-speedrun
Fortera,fortera,,a16z-speedrun
